omega_matter,w,abs_mag,delta_mag,alpha,beta,exact_1,exact_2,exact_3,exact_4,exact_5,exact_6,first_1,first_2,first_3,first_4,first_5,first_6,second_1,second_2,second_3,second_4,second_5,second_6,exact_minus_first_1,exact_minus_first_2,exact_minus_first_3,exact_minus_first_4,exact_minus_first_5,exact_minus_first_6,exact_minus_second_1,exact_minus_second_2,exact_minus_second_3,exact_minus_second_4,exact_minus_second_5,exact_minus_second_6
0.30805603,-1.273406,-19.022627,-0.026827145,0.13247034,2.7206764,-1162.1198,-545.96594,700.13617,1.8568064,15.662772,34.740665,-1167.1263,-545.71484,700.0751,1.8617172,15.671093,34.748447,-1161.8528,-546.3687,700.06573,1.8617812,15.671454,34.74987,5.006592,-0.25109863,0.06109619,-0.0049108267,-0.008320808,-0.0077819824,-0.26696777,0.402771,0.07043457,-0.004974842,-0.008682251,-0.0092048645
0.28528804,-0.865048,-19.010672,-0.04718243,0.13162072,2.7065032,-1155.9087,-543.80743,700.2255,0.85544795,15.52224,34.53623,-1156.6937,-543.86847,700.21356,0.8563021,15.523691,34.537777,-1155.8455,-543.8442,700.22235,0.8556225,15.522499,34.536777,0.7850342,0.061035156,0.011962891,-0.00085413456,-0.0014514923,-0.0015487671,-0.06323242,0.036743164,0.0031738281,-0.0001745224,-0.0002593994,-0.0005493164
0.20302235,-0.75149304,-19.008142,-0.03641978,0.1274673,2.6900163,-1156.7861,-543.4846,700.4743,1.1897417,14.808947,34.29271,-1156.8336,-543.4853,700.4736,1.1898009,14.809128,34.29282,-1156.7854,-543.48517,700.4741,1.1896815,14.808938,34.29272,0.04748535,0.0006713867,0.0007324219,-5.9127808e-05,-0.00018119812,-0.00011062622,-0.0007324219,0.0005493164,0.00018310547,6.020069e-05,8.583069e-06,-1.1444092e-05
0.15985678,-1.213993,-19.02106,-0.046540197,0.13332912,2.667623,-1170.3658,-545.83673,699.7587,0.94565684,15.816853,33.965454,-1170.7084,-545.32574,699.8012,0.9433146,15.812454,33.960014,-1170.3955,-545.8091,699.7616,0.9456664,15.816825,33.964695,0.3425293,-0.5109863,-0.04248047,0.0023422241,0.004398346,0.0054397583,0.029663086,-0.027648926,-0.0028686523,-9.536743e-06,2.7656555e-05,0.00075912476
0.09665113,-0.28979504,-18.995428,-0.02841379,0.13191944,2.67016,-1145.7789,-541.96985,701.1806,1.7470694,15.573114,34.000137,-1148.3085,-541.6045,701.2011,1.7458049,15.570884,33.997673,-1145.5931,-541.9914,701.1918,1.7460804,15.571535,33.99896,2.529541,-0.36535645,-0.020507812,0.0012644529,0.0022306442,0.0024642944,-0.18579102,0.02154541,-0.011169434,0.0009889603,0.0015792847,0.0011787415
0.4117722,-0.40480876,-19.007887,-0.037966304,0.13192664,2.632742,-1143.555,-541.7403,700.48334,1.2810061,15.570108,33.443798,-1139.5149,-541.7981,700.50287,1.2797332,15.567917,33.44162,-1144.6558,-541.28845,700.4929,1.2804598,15.569205,33.442627,-4.040161,0.057800293,-0.01953125,0.0012729168,0.0021915436,0.0021781921,1.100708,-0.45184326,-0.0095825195,0.0005463362,0.0009031296,0.0011711121
0.19715574,-1.3837818,-19.027956,-0.039103694,0.13101831,2.698414,-1171.275,-546.9586,699.5861,1.2123165,15.421253,34.42159,-1173.9114,-546.0386,699.61646,1.2117474,15.419439,34.417397,-1171.523,-546.98157,699.55646,1.21522,15.425781,34.424805,2.6363525,-0.92004395,-0.030334473,0.00056910515,0.0018138885,0.0041923523,0.2479248,0.022949219,0.029663086,-0.0029034615,-0.0045280457,-0.0032157898
0.34640846,-0.65510774,-19.015017,-0.044212453,0.1309837,2.7031221,-1149.3693,-542.5767,700.07855,0.9695369,15.413614,34.487057,-1148.3904,-542.7685,700.07556,0.9697285,15.413955,34.487446,-1149.535,-542.4777,700.08704,0.968979,15.412604,34.48601,-0.97888184,0.19177246,0.0029907227,-0.00019162893,-0.00034046173,-0.00038909912,0.16577148,-0.09899902,-0.008483887,0.0005578995,0.0010099411,0.001045227
0.21552691,-0.7707589,-19.025745,-0.027905773,0.12894721,2.7165024,-1156.029,-543.1973,699.89075,1.6637839,15.06592,34.6862,-1156.1371,-543.2,699.8898,1.6638905,15.065998,34.6861,-1156.0265,-543.199,699.89056,1.6638621,15.065881,34.686253,0.10803223,0.0026855469,0.0009765625,-0.000106573105,-7.8201294e-05,9.918213e-05,-0.0025634766,0.0016479492,0.00018310547,-7.8201294e-05,3.9100647e-05,-5.340576e-05
0.34114823,-1.1607528,-19.001831,-0.05201616,0.13556693,2.6550615,-1159.219,-545.4424,700.6049,0.76691633,16.18735,33.766033,-1163.4579,-545.48956,700.54395,0.77133363,16.195107,33.77335,-1158.7739,-545.8181,700.5567,0.7700711,16.193075,33.77222,4.2388916,0.047180176,0.06097412,-0.0044173,-0.007757187,-0.0073165894,-0.44506836,0.37573242,0.048217773,-0.0031547546,-0.0057258606,-0.006187439
0.3851952,-1.0260253,-19.02037,-0.03490157,0.13480037,2.692693,-1154.3713,-544.1676,700.10394,1.5612489,16.061405,34.32627,-1157.3456,-544.5042,700.0507,1.5648137,16.06774,34.33245,-1153.8591,-544.4453,700.0848,1.5622665,16.063334,34.329044,2.9742432,0.3366089,0.053222656,-0.0035648346,-0.006334305,-0.0061798096,-0.51220703,0.27770996,0.019165039,-0.0010175705,-0.0019283295,-0.002773285
0.17004183,-0.7882325,-19.023075,-0.051348872,0.13489124,2.7208936,-1157.9882,-543.1487,699.64105,0.79860485,16.086628,34.751556,-1157.9639,-543.14056,699.64233,0.798601,16.086483,34.751545,-1157.9875,-543.14886,699.64105,0.79866636,16.086664,34.751675,-0.024291992,-0.008117676,-0.0012817383,3.874302e-06,0.0001449585,1.1444092e-05,-0.00061035156,0.00018310547,0.0,-6.151199e-05,-3.6239624e-05,-0.000118255615
0.24353164,-0.5436406,-19.005522,-0.058741134,0.131136,2.6829252,-1149.8207,-542.3643,700.2177,0.28016126,15.438544,34.187878,-1149.2382,-542.35046,700.22284,0.27977538,15.4378395,34.187344,-1149.8809,-542.34296,700.2172,0.28014028,15.43843,34.18811,-0.58251953,-0.0138549805,-0.005126953,0.00038588047,0.0007047653,0.0005340576,0.060180664,-0.021362305,0.00048828125,2.0980835e-05,0.00011444092,-0.00023269653
0.23287116,-1.0086513,-18.997353,-0.03539297,0.13081588,2.7259588,-1162.1865,-545.137,700.98444,1.388785,15.387138,34.826424,-1163.4266,-544.9817,700.98145,1.389199,15.387785,34.826843,-1162.1925,-545.16956,700.9765,1.3893934,15.388151,34.827564,1.2401123,-0.15533447,0.0029907227,-0.00041401386,-0.0006465912,-0.0004196167,0.0059814453,0.03253174,0.00793457,-0.0006084442,-0.0010128021,-0.0011405945
0.45917335,-1.3304534,-19.00609,-0.040283706,0.128852,2.6471035,-1155.6127,-545.53125,700.6653,1.0379093,15.023218,33.636097,-1164.0798,-546.33307,700.5074,1.0482485,15.04183,33.655045,-1153.5671,-546.76306,700.56116,1.0437847,15.0343075,33.649857,8.467163,0.80181885,0.15789795,-0.01033926,-0.018611908,-0.018947601,-2.0455322,1.2318115,0.10412598,-0.0058754683,-0.011089325,-0.013759613
